,Unnamed: 0,Tm,Cmp,Att,P_Yds,P_TD
0,0,NOR,460,667,4970,32
1,1,ARI,353,562,4616,35
2,2,PIT,391,590,4603,26
3,3,LAC,442,667,4591,30
4,4,NWE,404,629,4587,36
5,5,ATL,410,621,4379,21
6,6,NYG,392,623,4343,36
7,7,BAL,426,676,4271,21
8,8,DET,420,632,4212,33
9,9,JAX,355,607,4108,35
10,10,WAS,386,555,4095,30
11,11,PHI,405,623,4087,23
12,12,NYJ,362,604,4057,33
13,13,DEN,368,606,3970,19
14,14,CIN,334,505,3923,31
15,15,LVR,373,605,3879,34
16,16,TAM,312,535,3852,22
17,17,HOU,358,619,3833,29
18,18,MIA,365,588,3811,24
19,19,SEA,333,489,3790,34
20,20,CLE,371,609,3782,20
21,21,IND,355,619,3704,26
22,22,CHI,334,523,3660,21
23,23,CAR,300,501,3589,35
24,24,TEN,342,551,3503,25
25,25,GNB,348,573,3503,31
26,26,DAL,334,528,3471,16
27,27,BUF,295,465,3343,23
28,28,SFO,322,526,3316,16
29,29,KAN,310,473,3255,20
30,30,MIN,294,454,2928,14
31,31,LAR,273,473,2805,11
