,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,0,AntonioBrown,PIT,27,WR,16,193,136,70.5%,1834,13.5,10,9.5,8.5,114.6,BrowAn04
1,1,1,JulioJones,ATL,26,WR,16,203,136,67.0%,1871,13.8,8,9.2,8.5,116.9,JoneJu02
2,2,2,DeAndreHopkins,HOU,23,WR,16,192,111,57.8%,1521,13.7,11,7.9,6.9,95.1,HopkDe00
3,3,3,JarvisLandry,MIA,23,WR,16,166,110,66.3%,1157,10.5,4,7.0,6.9,72.3,LandJa00
4,4,4,LarryFitzgerald,ARI,32,WR,16,145,109,75.2%,1215,11.1,9,8.4,6.8,75.9,FitzLa00
5,5,5,BrandonMarshall,NYJ,31,WR,16,173,109,63.0%,1502,13.8,14,8.7,6.8,93.9,MarsBr00
6,6,6,DemaryiusThomas,DEN,28,WR,16,177,105,59.3%,1304,12.4,6,7.4,6.6,81.5,ThomDe03
7,7,7,OdellBeckhamJr,NYG,23,WR,15,158,96,60.8%,1450,15.1,13,9.2,6.4,96.7,BeckOd00
9,9,9,GoldenTate,DET,27,WR,16,128,90,70.3%,813,9.0,6,6.4,5.6,50.8,TateGo00
10,10,10,CalvinJohnson,DET,30,WR,16,149,88,59.1%,1214,13.8,9,8.1,5.5,75.9,JohnCa00
11,11,11,JeremyMaclin,KAN,27,WR,15,124,87,70.2%,1088,12.5,8,8.8,5.8,72.5,MaclJe00
13,13,13,AJGreen,CIN,27,WR,16,132,86,65.2%,1297,15.1,10,9.8,5.4,81.1,GreeA.00
14,14,14,MichaelCrabtree,LVR,28,WR,16,146,85,58.2%,922,10.8,9,6.3,5.3,57.6,CrabMi00
15,15,15,JordanMatthews,PHI,23,WR,16,126,85,67.5%,997,11.7,8,7.9,5.3,62.3,MattJo00
16,16,16,BrandinCooks,NOR,22,WR,16,129,84,65.1%,1138,13.5,9,8.8,5.3,71.1,CookBr00
17,17,17,EricDecker,NYJ,28,WR,15,132,80,60.6%,1027,12.8,12,7.8,5.3,68.5,DeckEr00
19,19,19,AllenRobinson,JAX,22,WR,16,151,80,53.0%,1400,17.5,14,9.3,5.0,87.5,RobiAl02
22,22,22,RandallCobb,GNB,25,WR,16,129,79,61.2%,829,10.5,6,6.4,4.9,51.8,CobbRa00
23,23,23,DougBaldwin,SEA,27,WR,16,103,78,75.7%,1069,13.7,14,10.4,4.9,66.8,BaldDo00
26,26,26,EmmanuelSanders,DEN,28,WR,15,136,76,55.9%,1135,14.9,6,8.3,5.1,75.7,SandEm00
27,27,27,KamarAiken,BAL,26,WR,16,127,75,59.1%,944,12.6,5,7.4,4.7,59.0,AikeKa00
29,29,29,MikeEvans,TAM,22,WR,15,148,74,50.0%,1206,16.3,3,8.1,4.9,80.4,EvanMi00
32,32,32,AmariCooper,LVR,21,WR,16,130,72,55.4%,1070,14.9,6,8.2,4.5,66.9,CoopAm00
33,33,33,PierreGarcon,WAS,29,WR,16,111,72,64.9%,777,10.8,6,7.0,4.5,48.6,GarcPi00
36,36,36,AnquanBoldin,SFO,35,WR,14,111,69,62.2%,789,11.4,4,7.1,4.9,56.4,BoldAn00
37,37,37,TYHilton,IND,26,WR,16,134,69,51.5%,1124,16.3,5,8.4,4.3,70.3,HiltT.00
38,38,38,WillieSnead,NOR,23,WR,15,101,69,68.3%,984,14.3,3,9.7,4.6,65.6,SneaWi00
39,39,39,TravisBenjamin,CLE,26,WR,16,125,68,54.4%,966,14.2,5,7.7,4.3,60.4,BenjTr00
40,40,40,KeenanAllen,LAC,23,WR,8,89,67,75.3%,725,10.8,4,8.1,8.4,90.6,AlleKe00
41,41,41,DannyAmendola,NWE,30,WR,14,87,65,74.7%,648,10.0,3,7.4,4.6,46.3,AmenDa00
42,42,42,JohnBrown,ARI,25,WR,15,101,65,64.4%,1003,15.4,7,9.9,4.3,66.9,BrowJo02
43,43,43,MarvinJones,CIN,25,WR,16,103,65,63.1%,816,12.6,4,7.9,4.1,51.0,JoneMa02
44,44,44,AllenHurns,JAX,24,WR,15,105,64,61.0%,1031,16.1,10,9.8,4.3,68.7,HurnAl01
45,45,45,DonteMoncrief,IND,22,WR,16,105,64,61.0%,733,11.5,6,7.0,4.0,45.8,MoncDo00
46,46,46,JulianEdelman,NWE,29,WR,9,88,61,69.3%,692,11.3,7,7.9,6.8,76.9,EdelJu00
49,49,49,SammyWatkins,BUF,22,WR,13,96,60,62.5%,1047,17.5,9,10.9,4.6,80.5,WatkSa00
50,50,50,JamisonCrowder,WAS,22,WR,16,78,59,75.6%,604,10.2,2,7.7,3.7,37.8,CrowJa00
54,54,54,RuebenRandle,NYG,24,WR,16,90,57,63.3%,797,14.0,8,8.9,3.6,49.8,RandRu00
58,58,58,AlshonJeffery,CHI,25,WR,9,94,54,57.4%,807,14.9,4,8.6,6.0,89.7,JeffAl00
60,60,60,TavonAustin,LAR,25,WR,16,87,52,59.8%,473,9.1,5,5.4,3.3,29.6,AustTa00
61,61,61,ColeBeasley,DAL,26,WR,16,75,52,69.3%,536,10.3,5,7.1,3.3,33.5,BeasCo00
62,62,62,StefonDiggs,MIN,22,WR,13,84,52,61.9%,720,13.8,4,8.6,4.0,55.4,DiggSt00
64,64,64,MichaelFloyd,ARI,26,WR,15,89,52,58.4%,849,16.3,6,9.5,3.5,56.6,FloyMi00
65,65,65,TerranceWilliams,DAL,26,WR,16,93,52,55.9%,840,16.2,3,9.0,3.3,52.5,WillTe01
67,67,67,TylerLockett,SEA,23,WR,16,69,51,73.9%,664,13.0,6,9.6,3.2,41.5,LockTy00
69,69,69,DavanteAdams,GNB,23,WR,13,94,50,53.2%,483,9.7,1,5.1,3.8,37.2,AdamDa01
70,70,70,MartavisBryant,PIT,24,WR,11,92,50,54.3%,765,15.3,6,8.3,4.5,69.5,BryaMa00
72,72,72,JamesJones,GNB,31,WR,16,99,50,50.5%,890,17.8,8,9.0,3.1,55.6,JoneJa04
74,74,74,JermaineKearse,SEA,25,WR,16,68,49,72.1%,685,14.0,5,10.1,3.1,42.8,KearJe01
80,80,80,NateWashington,HOU,32,WR,14,94,47,50.0%,658,14.0,4,7.0,3.4,47.0,WashNa00
81,81,81,RobertWoods,BUF,23,WR,14,80,47,58.8%,552,11.7,3,6.9,3.4,39.4,WoodRo02
83,83,83,BrianHartline,CLE,29,WR,12,77,46,59.7%,523,11.4,2,6.8,3.8,43.6,HartBr00
84,84,84,SteveSmithSr,BAL,36,WR,7,73,46,63.0%,670,14.6,3,9.2,6.6,95.7,SmitSt01
87,87,87,MarquesColston,NOR,32,WR,13,67,45,67.2%,520,11.6,4,7.8,3.5,40.0,ColsMa00
88,88,88,SteveJohnson,LAC,29,WR,10,65,45,69.2%,497,11.0,3,7.6,4.5,49.7,JohnSt00
90,90,90,TedGinnJr,CAR,30,WR,15,97,44,45.4%,739,16.8,10,7.6,2.9,49.3,GinnTe00
92,92,92,MarkusWheaton,PIT,24,WR,16,79,44,55.7%,749,17.0,5,9.5,2.8,46.8,WheaMa00
93,93,93,RishardMatthews,MIA,26,WR,11,61,43,70.5%,662,15.4,4,10.9,3.9,60.2,MattRi00
95,95,95,RoddyWhite,ATL,34,WR,16,70,43,61.4%,506,11.8,1,7.2,2.7,31.6,WhitRo00
96,96,96,CecilShorts,HOU,28,WR,11,75,42,56.0%,484,11.5,2,6.5,3.8,44.0,ShorCe00
98,98,98,AndreJohnson,IND,34,WR,16,77,41,53.2%,503,12.3,4,6.5,2.6,31.4,JohnAn02
105,105,105,JerrichoCotchery,CAR,33,WR,14,54,39,72.2%,485,12.4,3,9.0,2.8,34.6,CotcJe00
