,Tm,Cmp,Att,P_Yds,P_TD
0,NOR,472,674,5074,38
1,WAS,407,607,4758,25
2,ATL,374,537,4725,38
3,NWE,368,550,4308,32
4,IND,370,584,4202,32
5,PIT,381,596,4202,33
6,GNB,403,620,4199,40
7,LAC,349,580,4198,33
8,ARI,383,646,4136,28
9,SEA,368,567,4124,23
10,DET,388,594,4111,24
11,BAL,439,679,4100,20
12,LVR,379,596,4051,29
13,CHI,347,559,3969,19
14,CIN,364,563,3942,18
15,TAM,355,578,3926,29
16,NYG,377,598,3879,26
17,MIN,414,588,3836,20
18,KAN,365,546,3740,19
19,JAX,369,626,3728,24
20,DEN,339,570,3685,20
21,CAR,306,563,3685,21
22,DAL,325,483,3631,25
23,PHI,380,609,3585,16
24,TEN,307,504,3541,29
25,MIA,316,477,3500,27
26,NYJ,311,550,3466,16
27,CLE,338,567,3264,15
28,HOU,347,583,3176,15
29,BUF,286,474,3036,17
30,LAR,312,536,2951,14
31,SFO,287,491,2911,21
