,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,JarvisLandry,MIA,25,WR,16,161,112,69.6%,987,8.8,9,6.1,7.0,61.7,LandJa00,373.0,602.0,3535.0,24.0,2017
1,1,KennyStills,MIA,25,WR,16,105,58,55.2%,847,14.6,6,8.1,3.6,52.9,StilKe00,373.0,602.0,3535.0,24.0,2017
2,2,DeVanteParker,MIA,24,WR,13,96,57,59.4%,670,11.8,1,7.0,4.4,51.5,ParkDe01,373.0,602.0,3535.0,24.0,2017
3,3,JakeemGrant,MIA,25,WR,16,22,13,59.1%,203,15.6,2,9.2,0.8,12.7,GranJa00,373.0,602.0,3535.0,24.0,2017
4,4,LeonteCarroo,MIA,23,WR,14,12,7,58.3%,69,9.9,0,5.8,0.5,4.9,CarrLe00,373.0,602.0,3535.0,24.0,2017
5,5,LarryFitzgerald,ARI,34,WR,16,161,109,67.7%,1156,10.6,6,7.2,6.8,72.3,FitzLa00,339.0,598.0,3640.0,21.0,2017
6,6,JaronBrown,ARI,27,WR,16,69,31,44.9%,477,15.4,4,6.9,1.9,29.8,BrowJa03,339.0,598.0,3640.0,21.0,2017
7,7,JJNelson,ARI,25,WR,16,61,29,47.5%,508,17.5,2,8.3,1.8,31.8,NelsJJ00,339.0,598.0,3640.0,21.0,2017
8,8,JohnBrown,ARI,27,WR,10,55,21,38.2%,299,14.2,3,5.4,2.1,29.9,BrowJo02,339.0,598.0,3640.0,21.0,2017
9,9,DJFoster,ARI,24,WR,7,28,17,60.7%,133,7.8,0,4.8,2.4,19.0,FostD.01,339.0,598.0,3640.0,21.0,2017
10,10,RickySealsJones,ARI,22,WR,10,28,12,42.9%,201,16.8,3,7.2,1.2,20.1,SealRi00,339.0,598.0,3640.0,21.0,2017
11,11,BrittanGolden,ARI,29,WR,13,9,5,55.6%,70,14.0,0,7.8,0.4,5.4,GoldBr00,339.0,598.0,3640.0,21.0,2017
12,12,ChadWilliams,ARI,23,WR,6,7,3,42.9%,31,10.3,0,4.4,0.5,5.2,WillCh05,339.0,598.0,3640.0,21.0,2017
13,13,IfeanyiMomah,ARI,28,WR,9,2,1,50.0%,46,46.0,0,23.0,0.1,5.1,MomaIf00,339.0,598.0,3640.0,21.0,2017
14,14,MichaelThomas,NOR,24,WR,16,149,104,69.8%,1245,12.0,5,8.4,6.5,77.8,ThomMi05,386.0,536.0,4189.0,23.0,2017
15,15,TedGinnJr,NOR,32,WR,15,70,53,75.7%,787,14.8,4,11.2,3.5,52.5,GinnTe00,386.0,536.0,4189.0,23.0,2017
16,16,BrandonColeman,NOR,25,WR,16,37,23,62.2%,364,15.8,3,9.8,1.4,22.8,ColeBr00,386.0,536.0,4189.0,23.0,2017
17,17,TommyleeLewis,NOR,25,WR,15,14,10,71.4%,116,11.6,1,8.3,0.7,7.7,LewiTo00,386.0,536.0,4189.0,23.0,2017
18,18,WillieSnead,NOR,25,WR,11,16,8,50.0%,92,11.5,0,5.8,0.7,8.4,SneaWi00,386.0,536.0,4189.0,23.0,2017
19,19,KeenanAllen,LAC,25,WR,16,159,102,64.2%,1393,13.7,6,8.8,6.4,87.1,AlleKe00,366.0,583.0,4431.0,28.0,2017
20,20,TyrellWilliams,LAC,25,WR,16,69,43,62.3%,728,16.9,4,10.6,2.7,45.5,WillTy00,366.0,583.0,4431.0,28.0,2017
21,21,TravisBenjamin,LAC,28,WR,16,62,34,54.8%,567,16.7,4,9.1,2.1,35.4,BenjTr00,366.0,583.0,4431.0,28.0,2017
22,22,MikeWilliams,LAC,23,WR,10,23,11,47.8%,95,8.6,0,4.1,1.1,9.5,WillMi07,366.0,583.0,4431.0,28.0,2017
23,23,AntonioBrown,PIT,29,WR,14,163,101,62.0%,1533,15.2,9,9.4,7.2,109.5,BrowAn04,384.0,590.0,4380.0,29.0,2017
24,24,JuJuSmithSchuster,PIT,21,WR,14,79,58,73.4%,917,15.8,7,11.6,4.1,65.5,SmitJu00,384.0,590.0,4380.0,29.0,2017
25,25,MartavisBryant,PIT,26,WR,15,84,50,59.5%,603,12.1,3,7.2,3.3,40.2,BryaMa00,384.0,590.0,4380.0,29.0,2017
26,26,EliRogers,PIT,25,WR,14,36,18,50.0%,149,8.3,1,4.1,1.3,10.6,RogeEl00,384.0,590.0,4380.0,29.0,2017
27,27,JustinHunter,PIT,26,WR,7,10,4,40.0%,23,5.8,1,2.3,0.6,3.3,HuntJu00,384.0,590.0,4380.0,29.0,2017
28,28,DarriusHeywardBey,PIT,30,WR,16,3,2,66.7%,47,23.5,0,15.7,0.1,2.9,HeywDa00,384.0,590.0,4380.0,29.0,2017
29,29,DeAndreHopkins,HOU,25,WR,15,174,96,55.2%,1378,14.4,13,7.9,6.4,91.9,HopkDe00,299.0,525.0,3278.0,28.0,2017
30,30,BruceEllington,HOU,26,WR,11,57,29,50.9%,330,11.4,2,5.8,2.6,30.0,ElliBr00,299.0,525.0,3278.0,28.0,2017
31,31,WillFuller,HOU,23,WR,10,50,28,56.0%,423,15.1,7,8.5,2.8,42.3,FullWi01,299.0,525.0,3278.0,28.0,2017
32,32,BraxtonMiller,HOU,25,WR,11,29,19,65.5%,162,8.5,1,5.6,1.7,14.7,MillBr03,299.0,525.0,3278.0,28.0,2017
33,33,ChrisThompson,HOU,23,WR,13,6,5,83.3%,84,16.8,0,14.0,0.4,6.5,ThomCh05,299.0,525.0,3278.0,28.0,2017
34,34,CobiHamilton,HOU,27,WR,3,6,1,16.7%,8,8.0,0,1.3,0.3,2.7,HamiCo00,299.0,525.0,3278.0,28.0,2017
35,35,DeAndrewWhite,HOU,26,WR,2,7,1,14.3%,24,24.0,0,3.4,0.5,12.0,WhitDe01,299.0,525.0,3278.0,28.0,2017
36,36,GoldenTate,DET,29,WR,16,120,92,76.7%,1003,10.9,5,8.4,5.8,62.7,TateGo00,374.0,570.0,4183.0,29.0,2017
37,37,MarvinJones,DET,27,WR,16,107,61,57.0%,1101,18.0,9,10.3,3.8,68.8,JoneMa02,374.0,570.0,4183.0,29.0,2017
38,38,TJJones,DET,25,WR,14,49,30,61.2%,399,13.3,1,8.1,2.1,28.5,JoneT.00,374.0,570.0,4183.0,29.0,2017
39,39,KennyGolladay,DET,24,WR,11,48,28,58.3%,477,17.0,3,9.9,2.5,43.4,GollKe00,374.0,570.0,4183.0,29.0,2017
40,40,JaredAbbrederis,DET,27,WR,7,7,3,42.9%,44,14.7,0,6.3,0.4,6.3,AbbrJa00,374.0,570.0,4183.0,29.0,2017
41,41,AdamThielen,MIN,27,WR,16,142,91,64.1%,1276,14.0,4,9.0,5.7,79.8,ThieAd00,357.0,527.0,3753.0,25.0,2017
42,42,StefonDiggs,MIN,24,WR,14,95,64,67.4%,849,13.3,8,8.9,4.6,60.6,DiggSt00,357.0,527.0,3753.0,25.0,2017
43,43,LaquonTreadwell,MIN,22,WR,16,35,20,57.1%,200,10.0,0,5.7,1.3,12.5,TreaLa00,357.0,527.0,3753.0,25.0,2017
44,44,JariusWright,MIN,28,WR,16,25,18,72.0%,198,11.0,2,7.9,1.1,12.4,WrigJa02,357.0,527.0,3753.0,25.0,2017
45,45,MichaelFloyd,MIN,28,WR,11,17,10,58.8%,78,7.8,0,4.6,0.9,7.1,FloyMi00,357.0,527.0,3753.0,25.0,2017
46,46,JulioJones,ATL,28,WR,16,148,88,59.5%,1444,16.4,3,9.8,5.5,90.3,JoneJu02,343.0,530.0,3990.0,21.0,2017
