,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,JustinJefferson,MIN,23,WR,17,184,128,69.6%,1809,14.1,8,9.8,7.5,106.4,JeffJu00
1,1,TyreekHill,MIA,28,WR,17,170,119,70.0%,1710,14.4,7,10.1,7.0,100.6,HillTy00
3,3,StefonDiggs,BUF,29,WR,16,154,108,70.1%,1429,13.2,11,9.3,6.8,89.3,DiggSt00
5,5,CeeDeeLamb,DAL,23,WR,17,156,107,68.6%,1359,12.7,9,8.7,6.3,79.9,LambCe00
6,6,AmonRaStBrown,DET,23,WR,16,146,106,72.6%,1161,11.0,6,8.0,6.6,72.6,StxxAm00
7,7,ChrisGodwin,TAM,26,WR,15,142,104,73.2%,1023,9.8,3,7.2,6.9,68.2,GodwCh00
8,8,DavanteAdams,LVR,30,WR,17,180,100,55.6%,1516,15.2,14,8.4,5.9,89.2,AdamDa01
9,9,MichaelPittmanJr,IND,25,WR,16,141,99,70.2%,925,9.3,4,6.6,6.2,57.8,PittMi01
10,10,DeVontaSmith,PHI,24,WR,17,136,95,69.9%,1196,12.6,7,8.8,5.6,70.4,SmitDe07
11,11,DKMetcalf,SEA,25,WR,17,141,90,63.8%,1048,11.6,6,7.4,5.3,61.6,MetcDK00
12,12,AJBrown,PHI,25,WR,17,145,88,60.7%,1496,17.0,11,10.3,5.2,88.0,BrowAJ00
13,13,JaMarrChase,CIN,22,WR,12,134,87,64.9%,1046,12.0,9,7.8,7.3,87.2,ChasJa00
15,15,DiontaeJohnson,PIT,26,WR,17,147,86,58.5%,882,10.3,0,6.0,5.1,51.9,JohnDi01
17,17,ChristianKirk,JAX,26,WR,17,133,84,63.2%,1108,13.2,8,8.3,4.9,65.2,KirkCh01
18,18,TylerLockett,SEA,30,WR,16,117,84,71.8%,1033,12.3,9,8.8,5.3,64.6,LockTy00
19,19,GarrettWilson,NYJ,22,WR,17,147,83,56.5%,1103,13.3,4,7.5,4.9,64.9,WilsGa00
20,20,ZayJones,JAX,27,WR,16,121,82,67.8%,823,10.0,5,6.8,5.1,51.4,JoneZa00
21,21,BrandonAiyuk,SFO,24,WR,17,114,78,68.4%,1015,13.0,8,8.9,4.6,59.7,AiyuBr00
22,22,AmariCooper,CLE,28,WR,17,132,78,59.1%,1160,14.9,9,8.8,4.6,68.2,CoopAm00
23,23,JuJuSmithSchuster,KAN,26,WR,16,101,78,77.2%,933,12.0,3,9.2,4.9,58.3,SmitJu00
24,24,MikeEvans,TAM,29,WR,15,127,77,60.6%,1124,14.6,6,8.9,5.1,74.9,EvanMi00
25,25,TerryMcLaurin,WAS,27,WR,17,120,77,64.2%,1191,15.5,5,9.9,4.5,70.1,McLaTe00
26,26,CooperKupp,LAR,29,WR,9,98,75,76.5%,812,10.8,6,8.3,8.3,90.2,KuppCo00
27,27,JaylenWaddle,MIA,24,WR,17,117,75,64.1%,1356,18.1,8,11.6,4.4,79.8,WaddJa00
28,28,TeeHiggins,CIN,23,WR,16,109,74,67.9%,1029,13.9,7,9.4,4.6,64.3,HiggTe00
33,33,DrakeLondon,ATL,21,WR,17,117,72,61.5%,866,12.0,4,7.4,4.2,50.9,LondDr00
34,34,ChrisOlave,NOR,22,WR,15,119,72,60.5%,1042,14.5,4,8.8,4.8,69.5,OlavCh00
35,35,JoshPalmer,LAC,24,WR,16,107,72,67.3%,769,10.7,3,7.2,4.5,48.1,PalmJo00
36,36,AdamThielen,MIN,32,WR,17,107,70,65.4%,716,10.2,6,6.7,4.1,42.1,ThieAd00
38,38,MarquiseBrown,ARI,25,WR,12,107,67,62.6%,709,10.6,3,6.6,5.6,59.1,BrowMa04
39,39,JerryJeudy,DEN,23,WR,15,100,67,67.0%,972,14.5,6,9.7,4.5,64.8,JeudJe00
40,40,JakobiMeyers,NWE,26,WR,14,96,67,69.8%,804,12.0,6,8.4,4.8,57.4,MeyeJa01
41,41,KeenanAllen,LAC,30,WR,10,89,66,74.2%,752,11.4,4,8.4,6.6,75.2,AlleKe00
42,42,DeAndreHopkins,ARI,30,WR,9,96,64,66.7%,717,11.2,3,7.5,7.1,79.7,HopkDe00
43,43,CurtisSamuel,WAS,26,WR,17,92,64,69.6%,656,10.3,4,7.1,3.8,38.6,SamuCu00
44,44,CourtlandSutton,DEN,27,WR,15,109,64,58.7%,829,13.0,2,7.6,4.3,55.3,SuttCo00
45,45,ParrisCampbell,IND,25,WR,17,91,63,69.2%,623,9.9,3,6.8,3.7,36.6,CampPa00
47,47,DJMoore,CAR,25,WR,17,118,63,53.4%,888,14.1,7,7.5,3.7,52.2,MoorD.00
48,48,MikeWilliams,LAC,28,WR,13,93,63,67.7%,895,14.2,4,9.6,4.8,68.8,WillMi07
49,49,DonovanPeoplesJones,CLE,23,WR,17,96,61,63.5%,839,13.8,3,8.7,3.6,49.4,PeopDo00
51,51,AllenLazard,GNB,27,WR,15,100,60,60.0%,788,13.1,6,7.9,4.0,52.5,LazaAl00
53,53,KJOsborn,MIN,25,WR,17,90,60,66.7%,650,10.8,5,7.2,3.5,38.2,OsboKJ00
55,55,TylerBoyd,CIN,28,WR,16,82,58,70.7%,762,13.1,5,9.3,3.6,47.6,BoydTy00
60,60,BrandinCooks,HOU,29,WR,13,93,57,61.3%,699,12.3,3,7.5,4.4,53.8,CookBr00
61,61,MackHollins,LVR,29,WR,17,94,57,60.6%,690,12.1,4,7.3,3.4,40.6,HollMa00
62,62,RichieJames,NYG,27,WR,17,70,57,81.4%,569,10.0,4,8.1,3.4,33.5,JameRi00
66,66,DeeboSamuel,SFO,26,WR,13,94,56,59.6%,632,11.3,2,6.7,4.3,48.6,SamuDe00
70,70,RobertWoods,TEN,30,WR,17,91,53,58.2%,527,9.9,2,5.8,3.1,31.0,WoodRo02
71,71,GregDortch,ARI,24,WR,16,64,52,81.3%,467,9.0,2,7.3,3.3,29.2,DortGr01
73,73,GeorgePickens,PIT,21,WR,17,84,52,61.9%,801,15.4,4,9.5,3.1,47.1,PickGe00
74,74,RussellGage,TAM,26,WR,13,70,51,72.9%,426,8.4,5,6.1,3.9,32.8,GageRu00
78,78,GabrielDavis,BUF,23,WR,15,93,48,51.6%,836,17.4,7,9.0,3.2,55.7,DaviGa01
80,80,ChrisMoore,HOU,29,WR,16,74,48,64.9%,548,11.4,2,7.4,3.0,34.3,MoorCh00
81,81,DemarcusRobinson,BAL,28,WR,17,75,48,64.0%,458,9.5,2,6.1,2.8,26.9,RobiDe01
84,84,KalifRaymond,DET,28,WR,17,64,47,73.4%,616,13.1,0,9.6,2.8,36.2,RaymKa00
85,85,DeAndreCarter,LAC,29,WR,17,65,46,70.8%,538,11.7,3,8.3,2.7,31.6,CartDe02
86,86,ChaseClaypool,2TM,24,WR,15,79,46,58.2%,451,9.8,1,5.7,3.1,30.1,ClayCh01
89,89,MarvinJones,JAX,32,WR,16,81,46,56.8%,529,11.5,3,6.5,2.9,33.1,JoneMa02
90,90,DariusSlayton,NYG,25,WR,16,71,46,64.8%,724,15.7,2,10.2,2.9,45.3,SlayDa01
91,91,NoahBrown,DAL,26,WR,16,74,43,58.1%,555,12.9,3,7.5,2.7,34.7,BrowNo00
92,92,RomeoDoubs,GNB,22,WR,13,67,42,62.7%,425,10.1,3,6.3,3.2,32.7,DoubRo00
94,94,IsaiahMcKenzie,BUF,27,WR,15,65,42,64.6%,423,10.1,4,6.5,2.8,28.2,McKeIs00
96,96,MarquezValdesScantling,KAN,28,WR,17,81,42,51.9%,687,16.4,2,8.5,2.5,40.4,ValdMa00
101,101,RondaleMoore,ARI,22,WR,8,56,41,73.2%,414,10.1,1,7.4,5.1,51.8,MoorRo02
102,102,AlecPierce,IND,22,WR,16,78,41,52.6%,593,14.5,2,7.6,2.6,37.1,PierAl00
