,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,BrandonZylstra,CAR,28,WR,13,25.0,18,72.0%,250,13.9,1,10.0,1.4,19.2,ZylsBr00,348.0,599.0,3239.0,14.0,2021
1,BrandonZylstra,CAR,27,WR,16,4.0,3,75.0%,35,11.7,0,8.8,0.2,2.2,ZylsBr00,373.0,550.0,3888.0,16.0,2020
2,BrandonZylstra,CAR,26,WR,8,12.0,8,66.7%,106,13.3,0,8.8,1.0,13.3,ZylsBr00,382.0,633.0,3650.0,17.0,2019
3,BrandonZylstra,MIN,25,WR,16,2.0,1,50.0%,23,23.0,0,11.5,0.1,1.4,ZylsBr00,425.0,606.0,4036.0,30.0,2018
4,OlamideZaccheaus,ATL,25,WR,17,61.0,40,65.6%,533,13.3,3,8.7,2.4,31.4,ZaccOl01,257.0,415.0,2699.0,17.0,2022
5,OlamideZaccheaus,ATL,24,WR,17,53.0,31,58.5%,406,13.1,3,7.7,1.8,23.9,ZaccOl01,377.0,573.0,3713.0,20.0,2021
6,OlamideZaccheaus,ATL,23,WR,11,32.0,20,62.5%,274,13.7,1,8.6,1.8,24.9,ZaccOl01,408.0,628.0,4363.0,27.0,2020
7,OlamideZaccheaus,ATL,22,WR,10,5.0,3,60.0%,115,38.3,1,23.0,0.3,11.5,ZaccOl01,459.0,684.0,4714.0,29.0,2019
8,KendallWright,CHI,28,WR,16,91.0,59,64.8%,614,10.4,1,6.7,3.7,38.4,WrigKe01,291.0,473.0,2811.0,13.0,2017
9,KendallWright,TEN,27,WR,11,42.0,29,69.0%,416,14.3,3,9.9,2.6,37.8,WrigKe01,307.0,504.0,3541.0,29.0,2016
10,KendallWright,TEN,26,WR,10,60.0,36,60.0%,408,11.3,3,6.8,3.6,40.8,WrigKe01,342.0,551.0,3503.0,25.0,2015
11,KendallWright,TEN,25,WR,14,93.0,57,61.3%,715,12.5,6,7.7,4.1,51.1,WrigKe01,299.0,513.0,3412.0,20.0,2014
12,KendallWright,TEN,24,WR,16,139.0,94,67.6%,1079,11.5,2,7.8,5.9,67.4,WrigKe01,328.0,533.0,3496.0,22.0,2013
13,JariusWright,CAR,30,WR,16,58.0,28,48.3%,296,10.6,0,5.1,1.8,18.5,WrigJa02,382.0,633.0,3650.0,17.0,2019
14,JariusWright,CAR,29,WR,16,59.0,43,72.9%,447,10.4,1,7.6,2.7,27.9,WrigJa02,378.0,563.0,3836.0,28.0,2018
15,JariusWright,MIN,28,WR,16,25.0,18,72.0%,198,11.0,2,7.9,1.1,12.4,WrigJa02,357.0,527.0,3753.0,25.0,2017
16,JariusWright,MIN,27,WR,8,14.0,11,78.6%,67,6.1,1,4.8,1.4,8.4,WrigJa02,414.0,588.0,3836.0,20.0,2016
17,JariusWright,MIN,26,WR,16,50.0,34,68.0%,442,13.0,0,8.8,2.1,27.6,WrigJa02,294.0,454.0,2928.0,14.0,2015
18,JariusWright,MIN,25,WR,16,62.0,42,67.7%,588,14.0,2,9.5,2.6,36.8,WrigJa02,322.0,517.0,3244.0,17.0,2014
19,JariusWright,MIN,24,WR,16,43.0,26,60.5%,434,16.7,3,10.1,1.6,27.1,WrigJa02,325.0,546.0,3427.0,18.0,2013
20,RobertWoods,TEN,30,WR,17,91.0,53,58.2%,527,9.9,2,5.8,3.1,31.0,WoodRo02,285.0,456.0,2914.0,16.0,2022
21,RobertWoods,LAR,29,WR,9,69.0,45,65.2%,556,12.4,4,8.1,5.0,61.8,WoodRo02,406.0,607.0,4642.0,41.0,2021
22,RobertWoods,LAR,28,WR,16,129.0,90,69.8%,936,10.4,6,7.3,5.6,58.5,WoodRo02,392.0,590.0,4014.0,20.0,2020
23,RobertWoods,LAR,27,WR,15,139.0,90,64.7%,1134,12.6,2,8.2,6.0,75.6,WoodRo02,397.0,632.0,4499.0,22.0,2019
